title,year,duration,genre,rating
Life of Brian ,1979,1h 34min,Comedy,Life of Brian 
The Deer Hunter ,1978,3h 3min,Drama,The Deer Hunter 
Blade Runner ,1982,1h 57min,Action,Blade Runner 
The Elephant Man ,1980,2h 4min,Biography,The Elephant Man 
The Thing ,1982,1h 49min,Horror,The Thing 
Kaze no tani no Naushika ,1984,1h 57min,Animation,Kaze no tani no Naushika 
Ford v. Ferrari ,2019,2h 32min,Action,Ford v. Ferrari 
"Paris, Texas ",1984,2h 25min,Drama,"Paris, Texas "
Platoon ,1986,2h,Drama,Platoon 
The Princess Bride ,1987,1h 38min,Adventure,The Princess Bride 
Dead Poets Society ,1989,2h 8min,Comedy,Dead Poets Society 
Rush ,2013,2h 3min,Biography,Rush 
Fanny och Alexander ,1982,3h 8min,Drama,Fanny och Alexander 
Before Sunrise ,1995,1h 41min,Drama,Before Sunrise 
Stand by Me ,1986,1h 29min,Adventure,Stand by Me 
In the Name of the Father ,1993,2h 13min,Biography,In the Name of the Father 
Jurassic Park ,1993,2h 7min,Action,Jurassic Park 
Fargo ,1996,1h 38min,Crime,Fargo 
La haine ,1995,1h 38min,Crime,La haine 
Trainspotting ,1996,1h 33min,Drama,Trainspotting 
Fa yeung nin wah ,2000,1h 38min,Drama,Fa yeung nin wah 
The Big Lebowski ,1998,1h 57min,Comedy,The Big Lebowski 
Amores perros ,2000,2h 34min,Drama,Amores perros 
Catch Me If You Can ,2002,2h 21min,Biography,Catch Me If You Can 
Finding Nemo ,2003,1h 40min,Animation,Finding Nemo 
The Sixth Sense ,1999,1h 47min,Drama,The Sixth Sense 
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni ",1997,1h 27min,Animation,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni "
Inside Out ,2015,1h 35min,Animation,Inside Out 
Hacksaw Ridge ,2016,2h 19min,Biography,Hacksaw Ridge 
Kill Bill: Vol. 1 ,2003,1h 51min,Action,Kill Bill: Vol. 1 
Gone Girl ,2014,2h 29min,Drama,Gone Girl 
The Grand Budapest Hotel ,2014,1h 39min,Adventure,The Grand Budapest Hotel 
Relatos salvajes ,2014,2h 2min,Comedy,Relatos salvajes 
Ah-ga-ssi ,2016,2h 25min,Drama,Ah-ga-ssi 
Sherlock Jr. ,1924,45min,Action,Sherlock Jr. 
Contratiempo ,2016,1h 46min,Crime,Contratiempo 
Portrait de la jeune fille en feu ,2019,2h 2min,Drama,Portrait de la jeune fille en feu 
The Circus ,1928,1h 12min,Comedy,The Circus 
The Truman Show ,1998,1h 43min,Comedy,The Truman Show 
To Be or Not to Be ,1942,1h 39min,Comedy,To Be or Not to Be 
The Gold Rush ,1925,1h 35min,Adventure,The Gold Rush 
Room ,2015,1h 58min,Drama,Room 
Logan ,2017,2h 17min,Action,Logan 
All About Eve ,1950,2h 18min,Drama,All About Eve 
Rashômon ,1950,1h 28min,Crime,Rashômon 
Dial M for Murder ,1954,1h 45min,Crime,Dial M for Murder 
Tôkyô monogatari ,1953,2h 16min,Drama,Tôkyô monogatari 
Some Like It Hot ,1959,2h 1min,Comedy,Some Like It Hot 
Judgment at Nuremberg ,1961,2h 59min,Drama,Judgment at Nuremberg 
Det sjunde inseglet ,1957,1h 36min,Drama,Det sjunde inseglet 
Yôjinbô ,1961,1h 50min,Action,Yôjinbô 
The Treasure of the Sierra Madre ,1948,2h 6min,Adventure,The Treasure of the Sierra Madre 
To Kill a Mockingbird ,1962,2h 9min,Crime,To Kill a Mockingbird 
Smultronstället ,1957,1h 31min,Drama,Smultronstället 
Chinatown ,1974,2h 10min,Drama,Chinatown 
Monty Python and the Holy Grail ,1975,1h 31min,Adventure,Monty Python and the Holy Grail 
The Great Escape ,1963,2h 52min,Adventure,The Great Escape 
Raging Bull ,1980,2h 9min,Biography,Raging Bull 
Ran ,1985,2h 42min,Action,Ran 
Chak De! India ,2007,2h 33min,Drama,Chak De! India 
Die Hard ,1988,2h 12min,Action,Die Hard 
The Wolf of Wall Street ,2013,3h,Biography,The Wolf of Wall Street 
Warrior ,2011,2h 20min,Drama,Warrior 
Stalker ,1979,2h 42min,Drama,Stalker 
El secreto de sus ojos ,2009,2h 9min,Drama,El secreto de sus ojos 
Gangs of Wasseypur ,2012,5h 21min,Action,Gangs of Wasseypur 
Up ,2009,1h 36min,Animation,Up 
Klaus ,2019,1h 36min,Animation,Klaus 
Drishyam ,2015,2h 43min,Crime,Drishyam 
"Three Billboards Outside Ebbing, Missouri ",2017,1h 55min,Comedy,"Three Billboards Outside Ebbing, Missouri "
Green Book ,2018,2h 10min,Biography,Green Book 
The Kid ,1921,1h 8min,Comedy,The Kid 
M - Eine Stadt sucht einen Mörder ,1931,1h 57min,Crime,M - Eine Stadt sucht einen Mörder 
Koe no katachi ,2016,2h 10min,Animation,Koe no katachi 
Citizen Kane ,1941,1h 59min,Drama,Citizen Kane 
Double Indemnity ,1944,1h 47min,Crime,Double Indemnity 
Metropolis ,1927,2h 33min,Drama,Metropolis 
There Will Be Blood ,2007,2h 38min,Drama,There Will Be Blood 
Ladri di biciclette ,1948,1h 29min,Drama,Ladri di biciclette 
