Title,Year,Duration,Genre,Rating,movie_url
Million Dollar Baby ,2004,2h 12min,Drama,Million Dollar Baby ,https://www.imdb.com/title/tt0405159/?ref_=adv_li_tt
How to Train Your Dragon ,2010,1h 38min,Animation,How to Train Your Dragon ,https://www.imdb.com/title/tt0892769/?ref_=adv_li_tt
Hachi: A Dog's Tale ,2009,1h 33min,Drama,Hachi: A Dog's Tale ,https://www.imdb.com/title/tt1028532/?ref_=adv_li_tt
Mary and Max ,2009,1h 32min,Animation,Mary and Max ,https://www.imdb.com/title/tt0978762/?ref_=adv_li_tt
Shutter Island ,2010,2h 18min,Mystery,Shutter Island ,https://www.imdb.com/title/tt1130884/?ref_=adv_li_tt
Harry Potter and the Deathly Hallows: Part 2 ,2011,2h 10min,Adventure,Harry Potter and the Deathly Hallows: Part 2 ,https://www.imdb.com/title/tt1201607/?ref_=adv_li_tt
Gran Torino ,2008,1h 56min,Drama,Gran Torino ,https://www.imdb.com/title/tt1205489/?ref_=adv_li_tt
Prisoners ,2013,2h 33min,Crime,Prisoners ,https://www.imdb.com/title/tt1392214/?ref_=adv_li_tt
Mad Max: Fury Road ,2015,2h,Action,Mad Max: Fury Road ,https://www.imdb.com/title/tt1392190/?ref_=adv_li_tt
The Help ,2011,2h 26min,Drama,The Help ,https://www.imdb.com/title/tt1454029/?ref_=adv_li_tt
Spotlight ,2015,2h 9min,Biography,Spotlight ,https://www.imdb.com/title/tt1895587/?ref_=adv_li_tt
Ford v. Ferrari ,2019,2h 32min,Action,Ford v. Ferrari ,https://www.imdb.com/title/tt1950186/?ref_=adv_li_tt
Rush ,2013,2h 3min,Biography,Rush ,https://www.imdb.com/title/tt1979320/?ref_=adv_li_tt
12 Years a Slave ,2013,2h 14min,Biography,12 Years a Slave ,https://www.imdb.com/title/tt2024544/?ref_=adv_li_tt
The Terminator ,1984,1h 47min,Action,The Terminator ,https://www.imdb.com/title/tt0088247/?ref_=adv_li_tt
Aladdin ,1992,1h 30min,Animation,Aladdin ,https://www.imdb.com/title/tt0103639/?ref_=adv_li_tt
"Monsters, Inc. ",2001,1h 32min,Animation,"Monsters, Inc. ",https://www.imdb.com/title/tt0198781/?ref_=adv_li_tt
Before Sunset ,2004,1h 20min,Drama,Before Sunset ,https://www.imdb.com/title/tt0381681/?ref_=adv_li_tt
The General ,1926,1h 7min,Action,The General ,https://www.imdb.com/title/tt0017925/?ref_=adv_li_tt
La passion de Jeanne d'Arc ,1928,1h 50min,Biography,La passion de Jeanne d'Arc ,https://www.imdb.com/title/tt0019254/?ref_=adv_li_tt
It Happened One Night ,1934,1h 45min,Comedy,It Happened One Night ,https://www.imdb.com/title/tt0025316/?ref_=adv_li_tt
Gone with the Wind ,1939,3h 58min,Drama,Gone with the Wind ,https://www.imdb.com/title/tt0031381/?ref_=adv_li_tt
Mr. Smith Goes to Washington ,1939,2h 9min,Comedy,Mr. Smith Goes to Washington ,https://www.imdb.com/title/tt0031679/?ref_=adv_li_tt
Rebecca ,1940,2h 10min,Drama,Rebecca ,https://www.imdb.com/title/tt0032976/?ref_=adv_li_tt
The Third Man ,1949,1h 44min,Film-Noir,The Third Man ,https://www.imdb.com/title/tt0041959/?ref_=adv_li_tt
Le salaire de la peur ,1953,2h 11min,Adventure,Le salaire de la peur ,https://www.imdb.com/title/tt0046268/?ref_=adv_li_tt
On the Waterfront ,1954,1h 48min,Crime,On the Waterfront ,https://www.imdb.com/title/tt0047296/?ref_=adv_li_tt
The Bridge on the River Kwai ,1957,2h 41min,Adventure,The Bridge on the River Kwai ,https://www.imdb.com/title/tt0050212/?ref_=adv_li_tt
Kumonosu-jô ,1957,1h 50min,Drama,Kumonosu-jô ,https://www.imdb.com/title/tt0050613/?ref_=adv_li_tt
Ben-Hur ,1959,3h 32min,Adventure,Ben-Hur ,https://www.imdb.com/title/tt0052618/?ref_=adv_li_tt
